document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
aae5c6f0c213946d265cb98c08106c0b,11,L'Ufficio Cassa è aperto negli stessi giorni dalle ore 08.30 alle ore 12.30.,L'Ufficio Cassa è aperto negli stessi giorni dalle ore 08.30 alle ore 12.30.,Forse manca qualcosa,,2024-03-12T08:25:58.366607,24.0
aae5c6f0c213946d265cb98c08106c0b,12,"Mediante libero accesso agli uffici negli orari di apertura al pubblico si effettuano le seguenti prestazioni: 
- Informazioni generali; 
- Informazioni e chiarimenti relativi ad eventuali preavvisi di contravvenzione; 
- Ritiro e consegna atti","Il cittadino può venire senza appuntamento negli uffici per: 
- chiedere Informazioni generali; 
- chiedere Informazioni e chiarimenti su multe ricevute a casa; 
- ritirare e consegnare documenti",lessico,Sostituzione di parole burocratiche o astratte con espressioni comuni - colloquiali | aggiunta del verbo | multa invece di contravvenzione,2024-03-12T08:27:56.467086,117.0
aae5c6f0c213946d265cb98c08106c0b,13,"È possibile ricevere informazioni mediante appuntamento, che può essere richiesto e fissato anche telefonicamente ai seguenti numeri",Puoi chiedere informazioni venendo da vicino su appuntamento: per l'appuntamento telefonaci a questi numeri,  ,Usare la seconda persona per rivolgersi direttamente al destinatario quando c'è una informazione diretta da indirizzare | anche la seconda frase è riformulata con un verbo all'imperativo seconda persona singolare | Seguenti sostituito con questi,2024-03-12T15:24:30.677278,141.0
aae5c6f0c213946d265cb98c08106c0b,14,"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare al miglioramento dei procedimenti in termini di semplificazione, trasparenza, efficienza ed efficacia.","I cittadini hanno diritto di partecipare al miglioramento delle attività realizzate dalla Polizia aumentando la loro semplicità, trasparenza, efficienza e efficacia.",,Evitare perifrasi iniziale | eliminazione dell'inciso,2024-03-12T15:28:29.275872,237.0
aae5c6f0c213946d265cb98c08106c0b,15,"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare all'istruttoria del procedimento di interesse, esercitando i diritti.",I cittadini hanno il diritto di partecipare alla fase di lavoro in cui si organizzano procedure su cose di loro interesse.,,Perifrasi | eliminazione inciso | lessico comune invece di lessico più elevato,2024-03-12T15:30:04.510180,94.0
aae5c6f0c213946d265cb98c08106c0b,16,Nell'esercizio di tali diritti l'utente riceve l'assistenza del responsabile del procedimento o dell'istruttore incaricato.,I cittadini che vogliono far valere i loro diritti sono aiutati da chi è responsabile delle azioni / procedure o da chi è incaricato di metterle in atto.,,"Eliminazione perifrasi | sostituzione termine astratto assistenza con verbo aiutare | sostituzione di termini responsabile, procedimento, istruttore con perifrasi più concrete e semplici",2024-03-12T15:32:27.180978,142.0
aae5c6f0c213946d265cb98c08106c0b,17,"L'erogazione del servizio avviene di norma con continuità, regolarità e senza interruzioni nei giorni e negli orari stabiliti al punto 6. ",Il servizio offerto viene svolto continuamente e regolarmente nei giorni e negli orari scritti al punto 6. ,,Sostituzione del nome di azione erogazione | sostituzione di due nomi astratti con avverbi ,2024-03-12T15:35:03.045546,64.0
aae5c6f0c213946d265cb98c08106c0b,18,"Eventuali interruzioni nell'erogazione del servizio, dovute a cause di forza maggiore o eventualmente programmate, saranno tempestivamente comunicate all'utenza, unitamente alla motivazione dell'interruzione, di norma nei seguenti modi: 
- con affissioni di cartelli agli ingressi degli uffici; 
- pubblicate sul sito Internet del Comune nella pagina ""Polizia Locale"", all'interno della ""Guida ai servizi comunali""","In qualche caso il Comune potrà interrompere il servizio, ma solo per cause gravi o motivi già stabiliti. Se succede questo il comune comunica subito la notizia ai cittadini e spiega perché c'è la interruzione del servizio. Il Comune comunica in questi modi: 
- con cartelli attaccati alle porte d'ingresso degli uffici; 
- con avvisi pubblicati sul sito Internet del Comune nella pagina ""Polizia Locale"", cliccando sulla parola ""Guida ai servizi comunali""",,Evitare espressioni impersonali e il passivo (interruzioni saranno comunicate) sostituito dalla forma attiva il comune comunica | Spezzare la frase in due per poter mettere a soggetto esplicito sempre il Comune | Linguaggio molto colloquiale nelle descrizioni dei modi di comunicare del comune con lessico colloquiale,2024-03-12T15:42:11.321759,178.0
aae5c6f0c213946d265cb98c08106c0b,19,"I Servizi di Polizia Locale Reparto Operativo improntano la propria azione organizzativa e di erogazione delle prestazioni ai principi di efficienza ed efficacia, specificando che:
- per efficienza si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto alle risorse a disposizione ed ai programmi stabiliti;
- per efficacia si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto ai bisogni ed alle necessità degli utenti, ricercando la soddisfazione degli stessi","La Polizia Locale (Reparto Operativo) lavora in modo efficiente e efficace:
- per efficiente intendiamo che lavora molto e con alta qualità in base a quante persone ci sono da assistere e ai programmi stabiliti;
- per efficace intendiamo che lavora molto e con alta qualità rispetto ai bisogni ed alle necessità dei cittadini cercando di accontentarli ",,Personalizzare usando il soggetto ricorrente Polizia Locale | evitare perifrasi formali e sostituire con verbi colloquiali | personalizzare con verbo alla prima persona al posto della forma impersonale con si,2024-03-12T16:15:34.846873,140.0
aae5c6f0c213946d265cb98c08106c0b,20,"Gli operatori dei Servizi di Polizia Locale Reparto Operativo ispirano i loro comportamenti nei confronti degli utenti a criteri di obiettività, giustizia ed imparzialità.","I poliziotti della Polizia Locale (Reparto Operativo) si rivolgono ai cittadini in modo ragionevole, secondo giustizia e senza fare preferenze.",,Ridurre la perifrasi e personalizzare la frase mettendo a soggetto il solito nome Polizia Locale | Evitare perifrasi inutilmente lunghe,2024-03-12T16:24:42.229658,5.0
aae5c6f0c213946d265cb98c08106c0b,21,"I responsabili del Reparto Operativo si impegnano a far sì che il comportamento dei propri collaboratori sia ispirato a presupposti di gentilezza, cortesia e disponibilità nei rapporti con gli utenti, auspicando che l'atteggiamento di questi ultimi sia improntato ad un criterio di proficua collaborazione, tale da agevolare in ogni occasione la corretta erogazione del servizio. ","I responsabili del Reparto Operativo dicono ai collaboratori di essere gentili, cortesi e disponibili verso i cittadini. Anche i cittadini devono cercare di collaborare e di agevolare in ogni occasione il lavoro della Polizia Locale. ",,Ridurre perifrasi a vantaggio di un'espressione diretta | aggettivi invece dei nomi astratti di qualità | separazione in due frasi | anche la seconda frase ha come soggetto un'entità animata e non l'atteggiamento,2024-03-12T16:28:42.625580,83.0
aae5c6f0c213946d265cb98c08106c0b,22,I responsabili del Reparto Operativo si impegnano inoltre a favorire l'applicazione di tali elementi relazionali nei confronti degli utenti anche attraverso opportune e specifiche azioni formative dirette agli operatori di ogni ordine e grado.,I responsabili del Reparto Operativo educano a questo modo di agire verso i cittadini anche tutti gli operatori di ogni ordine e grado. Insegnano questo atteggiamento in corsi creati per questo scopo.,,Evitare perifrasi inutili | spiegare i concetti in modo colloquiale,2024-03-12T16:30:54.695408,74.0
aae5c6f0c213946d265cb98c08106c0b,23,"Gli operatori del servizio si impegnano, nei rapporti con gli utenti, ad utilizzare in ogni occasione di comunicazione, sia verbale che scritta, un linguaggio semplificato e comprensibile ai destinatari, ponendo particolare cura alla spiegazione dei termini tecnico/giuridici. ",I poliziotti e tutti quelli che lavorano per la Polizia Locale utilizzano sempre - quando parlano o quando scrivono - una lingua semplice e comprensibile; in particolare spiegano ai cittadini le parole tecnico/giuridiche. ,,Personalizzare evitando perifrasi inutili | sostituire termini tecnici come comunicazione verbale i verbi parlare e scrivere | Abbreviare,2024-03-12T16:33:07.099250,85.0
aae5c6f0c213946d265cb98c08106c0b,24,"Gli stessi operatori, in orario di servizio, garantiscono all'utenza la loro agevole identificabilità attraverso l'esposizione di una placca indicante con caratteri ben leggibili il loro rispettivo numero di matricola.",I poliziotti quando lavorano devono indossare una medaglietta che contiene il loro numero di matricola. I cittadini devono poter leggere facilmente la medaglietta in modo da sapere con chi stanno parlando.,,Sostituire tutti i termini astratti con espressioni concrete e della lingua comune | Riorganizzata la frase in modo da avere 2 frasi ciascuna con un soggetto espresso e identificato bene,2024-03-12T16:36:35.199867,118.0
aae5c6f0c213946d265cb98c08106c0b,25,"Allo scopo di favorire il rapido decorso delle pratiche che presuppongono l'intervento di più reparti, appartenenti anche a Settori diversi, i Servizi di Polizia Locale Reparto Operativo promuovono la costituzione di un Tavolo di Coordinamento intersettoriale, con riunioni periodiche e programmate, allo scopo di costituire un dispositivo destinato a meglio coordinare l'attività tra uffici, in linea con quanto affermato al punto 9.c.","La Polizia Locale chiama a riunione (Tavolo di Coordinamento) altri reparti, settori diversi, per fare in modo che le richieste dei cittadini che interessano più settori siano svolte rapidamente. Queste riunioni tra settori diversi si svolgono a intervalli di tempo regolari per fare in modo che gli uffici siano sempre collegati tra loro (come stabilito al punto 9.c. vedi più avanti).",,"Abbreviato molto il testo, eliminando perifrasi ma soprattutto rimettendo in ordine la frase con soggetto a inizio frase, verbo colloquiale, e poi i complementi",2024-03-12T16:40:25.807017,172.0
aae5c6f0c213946d265cb98c08106c0b,26,I Servizi di Polizia Locale Reparto Operativo adottano gli strumenti utili ad assicurare la piena informazione degli utenti circa le modalità di prestazione dei servizi.,La Polizia Locale (Reparto Operativo) assicura l'informazione ai cittadini su come vengono svolte le attività lavorative.,,"Soggetto esplicito e umanizzato, ripete quello adottato sin qui nella riscrittura | verbi al posto di nomi d'azione | perifrasi accorciate",2024-03-12T18:15:45.877876,41.0
aae5c6f0c213946d265cb98c08106c0b,27,"forniscono, tramite gli operatori, tutte le informazioni verbali per il soddisfacimento delle richieste degli utenti; ",i lavoratori della Polizia locale rispondono anche a voce di persona a tutte le richieste dei cittadini; ,,Cambiato ordine delle parole per esprimere il concetto in modo lineare e colloquiale | Eliminato nome di azione,2024-03-12T18:17:56.391740,93.0
aae5c6f0c213946d265cb98c08106c0b,28,"garantiscono, per ogni procedimento elencato più avanti al punto 11 della presente Carta di Servizio, che gli atti notificati agli utenti contengono le necessarie indicazioni per l'inoltro di eventuali ricorsi. In tale prospettiva, garantiscono altresì che ogni riferimento di legge sarà seguito dalla riproduzione dello stralcio della norma pertinente ovvero dal suo Titolo, allo scopo di ottenere il massimo di chiarezza e comprensibilità; ","La Polizia fa in modo che quando si manda una comunicazione ufficiale a un cittadino questa contenga anche tutte le informazioni per presentare un ricorso, cioè una richiesta per opporsi alla comunicazione della Polizia. In particolare il cittadino può fare ricorso per le richieste elencate al punto 11 della Carta di Servizio che stai leggendo. Per aiutare il cittadino a opporsi eventualmente alle richieste della Polizia, la comunicazione ufficiale deve contenere il testo di legge in base al quale viene chiamato dalla Polizia oppure deve contenere il Titolo della legge: questo per fare in modo di comunicare in modo chiaro e comprensibile. ",,Soggetto esplicito | evitare incisi e rendere lineare la frase | sostituire parole formali con parole colloquiali,2024-03-12T18:24:52.099376,310.0
aae5c6f0c213946d265cb98c08106c0b,29,"forniscono informazioni agli utenti sui loro diritti di partecipazione, accesso e trasparenza sulla situazione di una pratica, in particolare comunicando esplicitamente e tempestivamente agli interessati: 
- il nominativo del responsabile del procedimento e dell'operatore che materialmente segue la pratica; 
- il termine previsto dalla legge per la chiusura del procedimento;","La Polizia Locale informa i cittadini sui loro diritti: cioè partecipare, poter leggere documenti che lo riguardano, avere notizie trasparenti sulla situazione di una pratica. In particolare la Polizia comunica in modo esplicito e rapido ai cittadini interessati:
- il nome della persona responsabile per legge della pratica  e della persona che concretamente segue la pratica; 
- il giorno in cui si chiude la pratica;",,Soggetto esplicito | verbi invece di nomi d'azione | termini colloquiali invece di più formali,2024-03-12T18:36:47.761598,191.0
aae5c6f0c213946d265cb98c08106c0b,30,"informano tempestivamente gli utenti della eventuale interruzione dell'erogazione del servizio, con le modalità di cui al punto 9.b; ",La Polizia Locale informa velocemente i cittadini se viene interrotto il servizio usando gli stessi metodi elencati al punto 9.b; ,,Soggetto esplicito | verbi al posto di nomi d'azione,2024-03-12T18:38:13.972614,85.0
aae5c6f0c213946d265cb98c08106c0b,31,"indicano esplicitamente, in ogni atto di rifiuto o dissenso, l'Autorità alla quale l'utente può presentare ricorso ed i termini entro cui poterlo fare.","Se la Polizia non accetta una richiesta dei cittadini o se c'è un'idea diversa tra cittadino e Polizia, la Polizia deve dire al cittadino in modo chiaro a quale Autorità il cittadino si può rivolgere per opporsi alla decisione e quanti giorni di tempo ha per opporsi.",,Soggetto esplicito | termini colloquiali | verbi al posto di nomi d'azione,2024-03-12T18:55:33.389181,112.0
aae5c6f0c213946d265cb98c08106c0b,32,"I responsabili del Reparto Operativo, d'intesa con il Comandante della Polizia Locale di Rovigo ed in accordo con il Settore Risorse Umane, predispone tutte le necessarie azioni formative nei confronti del personale operativo del servizio, affinché i rapporti dello stesso con gli utenti siano sempre improntati al massimo rispetto, cortesia e competenza professionale ed il loro atteggiamento sia tale da agevolare gli stessi nell'esercizio dei diritti e nell'adempimento degli obblighi. ","I responsabili della Polizia Locale (Reparto Operativo) insieme al Comandante della Polizia Locale di Rovigo e all'ufficio Risorse Umane formano i poliziotti in modo che loro trattino i cittadini con rispetto, con cortesia e con capacità professionale. I poliziotti imparano a aiutare i cittadini a difendere i propri diritti ma anche a fare i loro doveri. ",,Soggetto coerente col precedente testo | eliminazione di perifrasi inutili | lessico colloquiale,2024-03-12T19:01:58.143092,121.0
aae5c6f0c213946d265cb98c08106c0b,33,"Al fine di comprendere pienamente le esigenze degli utenti e calibrare su di esse il contenuto e le modalità di erogazione del servizio, il Comandante della Polizia Locale di Rovigo attiva i seguenti interventi, avvalendosi della collaborazione e dell'eventuale supporto tecnico dell'Ufficio Relazioni con il Pubblico:",Il Comandante della Polizia Locale di Rovigo insieme all'Ufficio Relazioni con il Pubblico fanno una serie di azioni per capire i bisogni dei cittadini e offrire un servizio che sia adatto a essi:,,Anticipare la frase principale e mettere dopo la frase subordinata | mettere in evidenza i soggetti | sostituire nomi d'azione con verbi | evitare il gerundio cioè la subordinata implicita,2024-03-12T19:06:00.261211,103.0
aae5c6f0c213946d265cb98c08106c0b,34,"A cadenza annuale, immediatamente dopo l'erogazione del servizio ed in maniera assolutamente anonima e riservata, agli utenti viene consegnato un questionario da compilare, per rilevare la valutazione degli stessi utenti sulla qualità del servizio reso. ","Ogni anno la Polizia distribuisce un questionario (anonimo, cioè senza lasciare scritto chi ha risposto alle domande) ai cittadini che hanno ricevuto un servizio: in questo modo si raccolgono i giudizi dei cittadini sul servizio realizzato dalla Polizia. ",,Eliminare il passivo e trasformare la frase in attiva | soggetto esplicito sempre la Polizia | Sostituzione di parole formali con quelle colloquiali | Frasi brevi | inserimento dei due punti con una frase indipendente che sostituisce una subordinata implicita,2024-03-12T19:09:50.039406,126.0
aae5c6f0c213946d265cb98c08106c0b,35,I risultati dei questionari vengono indicati nel Rapporto annuale di valutazione della Carta del servizio ed esaminati al fine della redazione del Piano di miglioramento della qualità.,La Polizia scrive le risposte dei questionari nel suo Rapporto che esce ogni anno e che serve a valutare la Carta del servizio. Le risposte dei questionari servono a scrivere un altro documento e cioè il Piano per migliorare la qualità del servizio.,,Soggetto esplicito | verbi concreti | sostituito risultato con risposte | Separare in due frasi distinte con cambio di soggetto,2024-03-12T19:12:27.552082,106.0
aae5c6f0c213946d265cb98c08106c0b,36,"Ogni utente può presentare reclami relativamente all'erogazione del servizio, con particolare riferimento a quanto disposto dalla presente Carta e dalla Carta generale dei Servizi del Comune di Rovigo. ","I cittadini possono lamentarsi del servizio, in particolare se esso è diverso da quanto scritto in questo documento (Carta dei servizi)  e da quanto scritto nella Carta generale dei Servizi del Comune di Rovigo. ",,Termini colloquiali | Nomi d'azione sostituiti da verbi,2024-03-12T19:13:55.919405,61.0
aae5c6f0c213946d265cb98c08106c0b,37,"Il reclamo può essere presentato anche tramite consegna dello stesso allo sportello dell'Ufficio Relazioni con il Pubblico. Il reclamo dovrà essere presentato in forma scritta (mediante consegna diretta, per posta, via fax, per posta elettronica) e sottoscritto dal presentatore. L'eventuale presentazione informale (orale diretta o telefonica) sarà considerata in ogni caso, ma alla stregua di semplice segnalazione. ","Il cittadino può presentare la sua lamentela (reclamo) allo sportello dell'Ufficio Relazioni con il Pubblico. Il reclamo deve essere in forma scritta (consegnato a mano oppure mandato per posta, per fax, per posta elettronica). Il cittadino deve firmare il reclamo. Se invece il cittadino racconta di persona allo sportello o al telefono il suo reclamo allora  esso viene raccolto come una semplice segnalazione e non come una domanda ufficiale. ",,Soggetto animato e non inanimato | forma attiva invece della forma passiva | Sostituzione di mediante con per | Uso di termini colloquiali | Spiegazione di sinonimia tra reclamo parola colta e lamentela parola colloquiale,2024-03-12T19:18:26.871325,201.0
aae5c6f0c213946d265cb98c08106c0b,38,I reclami anonimi e non circostanziati non saranno presi in considerazione. ,La Polizia non accetta un reclamo se chi lo presenta non lo firma o non fornisce buone spiegazioni. ,,Soggetto animato e esplicito | verbo di forma attiva,2024-03-12T19:20:25.913728,33.0
aae5c6f0c213946d265cb98c08106c0b,39,"In caso di presentazione formale, l'Ufficio Relazioni con il Pubblico del Comune risponde all'utente con la massima celerità e comunque entro trenta giorni dalla presentazione del reclamo. ","Se il cittadino presenta il reclamo in forma scritta, l'Ufficio Relazioni con il Pubblico del Comune risponde al cittadino velocemente e al massimo in trenta giorni dal giorno in cui il reclamo è arrivato. ",,Verbo al posto del nome di azione | cittadino al posto di utente | termine colloquiale velocemente invece di celerità astratto e di uso raro | in al posto di entro | verbo invece del nome d'azione presentazione del reclamo,2024-03-12T19:23:00.062260,66.0
aae5c6f0c213946d265cb98c08106c0b,40,L'insieme dei reclami e gli indicatori relativi alla loro gestione entrano a far parte del Rapporto annuale di valutazione della Carta del servizio ed esaminati al fine della redazione del Piano di miglioramento della qualità.,Il numero di reclami presentati dai cittadini e le informazioni sul modo e la velocità con cui l'ufficio ha risposto ai reclami sono scritti nel Rapporto che si scrive ogni anno per valutare la Carta del servizio. Queste informazioni sono usate per scrivere il Piano per migliorare la qualità del servizio.,,Concetti concreti e parole colloquiali al posto di parole astratte e formali | esplicitazione con perifrasi del concetto di indicatore | verbi al posto dei nomi d'azione,2024-03-12T19:25:54.193944,173.0
aae5c6f0c213946d265cb98c08106c0b,41,"I responsabili del Reparto Operativo, sentiti periodicamente gli operatori del servizio, registrano le anomalie che presentano i procedimenti, formulano le proposte di miglioramento degli stessi e le trasmettono al Comandante della Polizia Locale di Rovigo, Responsabile della Qualità di settore, affinché le includa nel Rapporto qualità e vengano considerate nella redazione del relativo Piano di miglioramento.","I responsabili della Polizia Locale (Reparto Operativo) ascoltano i loro lavoratori ogni tanto per sapere quali problemi si presentano nello svolgere le attività, propongono come migliorare le attività e informano di questo il Comandante della Polizia Locale di Rovigo, che è il Responsabile della Qualità di settore. Il Comandante mette queste informazioni nel Rapporto qualità per poi inserirle quando si scrive il Piano per migliorare il servizio.",,Soggetti espliciti | termini colloquiali | verbi al posto di nomi d'azione,2024-03-12T19:34:39.649153,154.0
aae5c6f0c213946d265cb98c08106c0b,42,I procedimenti amministrativi oggetto dei Servizi di Polizia Locale Reparto Operativo sono indicati nel prospetto di seguito riportato. ,La tabella qui sotto descrive le attività (procedimenti) amministrative di cui si occupa  la Polizia Locale (Reparto Operativo). ,,Anticipare il riferimento al prospetto che viene però identificato come Tabella | verbi comuni,2024-03-12T19:36:46.180762,64.0
